                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 2.0186,                 2.3524,                 1.3294,                 1.2729,                0.64421,                0.48474,                0.55528,                0.26313,                 0.6756,                0.50836,                0.56095,                0.21718,                 1.3542,                 1.5657,                 1.9601,                0.90628,               0.001109,               0.001109,               0.001109
                     47,                 2.0493,                 2.3801,                 1.3326,                  1.266,                0.46881,                0.63238,                0.52225,                0.24703,                0.45554,                0.61024,                 0.4887,                0.19002,                 1.3782,                 1.6315,                0.88123,                0.92607,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.0268,                 2.3656,                 1.3362,                 1.2655,                 0.5751,                0.57551,                0.52966,                0.24726,                0.57604,                0.53937,                0.51544,                0.19976,                 1.3542,                  1.549,                 1.6442,                0.88225,              0.0010694,              0.0010694,              0.0010694
                     49,                  2.077,                 2.3699,                 1.3194,                 1.2578,                 0.6686,                0.59843,                 0.6081,                0.28166,                0.62992,                0.57874,                0.57591,                0.22938,                 1.3374,                  1.555,                 1.0183,                0.90519,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.0396,                 2.3435,                 1.2921,                 1.2853,                0.56472,                0.57087,                0.55994,                0.26332,                0.55413,                0.52756,                0.52529,                0.20998,                  1.381,                 1.5365,                 1.2129,                0.92947,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.0218,                 2.3374,                  1.307,                 1.2618,                0.71955,                0.59599,                0.62667,                0.30296,                0.68689,                0.56693,                0.58004,                0.24217,                 1.3763,                 1.5753,                 0.9588,                0.90385,                0.00101,                0.00101,                0.00101
                     52,                 2.0362,                 2.3576,                  1.292,                 1.2618,                0.60277,                0.55512,                0.57054,                0.25954,                0.63904,                0.52756,                0.54572,                0.20643,                 1.3564,                 1.5986,                 1.4512,                0.90286,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.0332,                 2.3476,                 1.2525,                 1.2362,                0.68634,                 0.6063,                0.58001,                0.25872,                0.67131,                0.57896,                0.54541,                0.20463,                 1.4128,                 1.5803,                 1.0139,                0.92487,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.0212,                 2.3497,                 1.2702,                 1.2563,                0.71307,                0.59449,                0.62263,                0.31211,                 0.6819,                0.56693,                0.58379,                0.23537,                 1.3668,                 1.5907,                0.86446,                 0.9056,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.0059,                 2.3282,                 1.2622,                 1.2651,                0.66399,                0.53543,                0.61761,                0.27771,                0.74457,                0.51575,                0.59505,                0.22159,                 1.3909,                 1.6002,                 1.1232,                0.90466,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.0177,                 2.3345,                 1.2398,                 1.2466,                0.73762,                0.58659,                0.63545,                0.31773,                0.72437,                0.58268,                0.61719,                0.25756,                 1.3259,                 1.5861,                0.90432,                0.89776,               0.000911,               0.000911,               0.000911
                     57,                 2.0019,                 2.3491,                 1.2448,                 1.2589,                0.67146,                0.59542,                0.61046,                0.28462,                0.65017,                0.57804,                0.56735,                0.22399,                 1.3569,                 1.5572,                 1.5443,                0.88436,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.9754,                 2.3155,                 1.2278,                 1.2442,                0.76373,                 0.5854,                0.64705,                0.33006,                0.78083,                0.58912,                0.63261,                0.25938,                 1.3226,                 1.5622,                0.91821,                0.88773,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.0143,                 2.3138,                 1.2394,                 1.2369,                0.71206,                0.59391,                0.62852,                0.30791,                0.70946,                0.57683,                0.59856,                0.24099,                 1.3313,                 1.5466,                0.91039,                0.88883,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.9959,                 2.3487,                 1.2351,                 1.2388,                0.72728,                0.61944,                 0.6213,                0.29866,                0.72265,                 0.6155,                0.59187,                0.24428,                  1.367,                  1.536,                 1.1027,                0.89302,              0.0008318,              0.0008318,              0.0008318
